,previous_state,current_state
1,"[[1, 6, 4], [7, 0, 8], [2, 3, 5]]","[[1, 0, 4], [7, 6, 8], [2, 3, 5]]"
2,"[[1, 6, 4], [7, 0, 8], [2, 3, 5]]","[[1, 6, 4], [7, 3, 8], [2, 0, 5]]"
3,"[[1, 6, 4], [7, 0, 8], [2, 3, 5]]","[[1, 6, 4], [7, 8, 0], [2, 3, 5]]"
4,"[[1, 6, 4], [7, 0, 8], [2, 3, 5]]","[[1, 6, 4], [0, 7, 8], [2, 3, 5]]"
5,"[[1, 0, 4], [7, 6, 8], [2, 3, 5]]","[[1, 4, 0], [7, 6, 8], [2, 3, 5]]"
6,"[[1, 6, 4], [7, 8, 0], [2, 3, 5]]","[[1, 6, 0], [7, 8, 4], [2, 3, 5]]"
7,"[[1, 6, 4], [7, 3, 8], [2, 0, 5]]","[[1, 6, 4], [7, 3, 8], [0, 2, 5]]"
8,"[[1, 6, 4], [7, 3, 8], [2, 0, 5]]","[[1, 6, 4], [7, 3, 8], [2, 5, 0]]"
9,"[[1, 6, 4], [7, 8, 0], [2, 3, 5]]","[[1, 6, 4], [7, 8, 5], [2, 3, 0]]"
10,"[[1, 0, 4], [7, 6, 8], [2, 3, 5]]","[[0, 1, 4], [7, 6, 8], [2, 3, 5]]"
11,"[[1, 6, 4], [0, 7, 8], [2, 3, 5]]","[[1, 6, 4], [2, 7, 8], [0, 3, 5]]"
12,"[[1, 6, 4], [0, 7, 8], [2, 3, 5]]","[[0, 6, 4], [1, 7, 8], [2, 3, 5]]"
13,"[[1, 6, 0], [7, 8, 4], [2, 3, 5]]","[[1, 0, 6], [7, 8, 4], [2, 3, 5]]"
14,"[[1, 6, 4], [7, 3, 8], [0, 2, 5]]","[[1, 6, 4], [0, 3, 8], [7, 2, 5]]"
15,"[[1, 6, 4], [7, 3, 8], [2, 5, 0]]","[[1, 6, 4], [7, 3, 0], [2, 5, 8]]"
